,acc_ours,acc_yeaz,t1,t2,num_cells1,num_cells2,timediff
491,1.0,1.0,54,60,8,8,30
492,1.0,1.0,54,61,8,8,35
493,1.0,1.0,54,62,8,8,40
494,1.0,1.0,54,63,8,9,45
495,1.0,1.0,55,56,8,8,5
496,1.0,1.0,55,57,8,8,10
497,1.0,1.0,55,58,8,8,15
498,1.0,1.0,55,59,8,8,20
499,1.0,1.0,55,60,8,8,25
500,1.0,1.0,55,61,8,8,30
501,1.0,1.0,55,62,8,8,35
502,1.0,1.0,55,63,8,9,40
503,1.0,1.0,55,64,8,9,45
504,1.0,1.0,56,57,8,8,5
505,1.0,1.0,56,58,8,8,10
506,1.0,1.0,56,59,8,8,15
507,1.0,1.0,56,60,8,8,20
508,1.0,1.0,56,61,8,8,25
509,1.0,1.0,56,62,8,8,30
510,1.0,1.0,56,63,8,9,35
511,1.0,1.0,56,64,8,9,40
512,1.0,1.0,56,65,8,9,45
513,1.0,1.0,57,58,8,8,5
514,1.0,1.0,57,59,8,8,10
515,1.0,1.0,57,60,8,8,15
516,1.0,1.0,57,61,8,8,20
517,1.0,1.0,57,62,8,8,25
518,1.0,1.0,57,63,8,9,30
519,1.0,1.0,57,64,8,9,35
520,1.0,1.0,57,65,8,9,40
521,1.0,1.0,57,66,8,9,45
522,1.0,1.0,58,59,8,8,5
523,1.0,1.0,58,60,8,8,10
524,1.0,1.0,58,61,8,8,15
525,1.0,1.0,58,62,8,8,20
526,1.0,1.0,58,63,8,9,25
527,1.0,1.0,58,64,8,9,30
528,1.0,1.0,58,65,8,9,35
529,1.0,1.0,58,66,8,9,40
530,1.0,1.0,58,67,8,9,45
531,1.0,1.0,59,60,8,8,5
532,1.0,1.0,59,61,8,8,10
533,1.0,1.0,59,62,8,8,15
534,1.0,1.0,59,63,8,9,20
535,1.0,1.0,59,64,8,9,25
536,1.0,1.0,59,65,8,9,30
537,1.0,1.0,59,66,8,9,35
538,1.0,1.0,59,67,8,9,40
539,1.0,1.0,59,68,8,9,45
540,1.0,1.0,60,61,8,8,5
541,1.0,1.0,60,62,8,8,10
542,1.0,1.0,60,63,8,9,15
543,1.0,1.0,60,64,8,9,20
544,1.0,1.0,60,65,8,9,25
545,1.0,1.0,60,66,8,9,30
546,1.0,1.0,60,67,8,9,35
547,1.0,1.0,60,68,8,9,40
548,1.0,1.0,60,69,8,9,45
549,1.0,1.0,61,62,8,8,5
550,1.0,1.0,61,63,8,9,10
551,1.0,1.0,61,64,8,9,15
552,1.0,1.0,61,65,8,9,20
553,1.0,1.0,61,66,8,9,25
554,1.0,1.0,61,67,8,9,30
555,1.0,1.0,61,68,8,9,35
556,1.0,1.0,61,69,8,9,40
557,1.0,1.0,61,70,8,9,45
558,1.0,1.0,62,63,8,9,5
559,1.0,1.0,62,64,8,9,10
560,1.0,1.0,62,65,8,9,15
561,1.0,1.0,62,66,8,9,20
562,1.0,1.0,62,67,8,9,25
563,1.0,1.0,62,68,8,9,30
564,1.0,1.0,62,69,8,9,35
565,1.0,1.0,62,70,8,9,40
566,1.0,1.0,62,71,8,9,45
567,1.0,1.0,63,64,9,9,5
568,1.0,1.0,63,65,9,9,10
569,1.0,1.0,63,66,9,9,15
570,1.0,1.0,63,67,9,9,20
571,1.0,1.0,63,68,9,9,25
572,1.0,1.0,63,69,9,9,30
573,1.0,1.0,63,70,9,9,35
574,1.0,1.0,63,71,9,9,40
575,1.0,1.0,63,72,9,9,45
576,1.0,1.0,64,65,9,9,5
577,1.0,1.0,64,66,9,9,10
578,1.0,1.0,64,67,9,9,15
579,1.0,1.0,64,68,9,9,20
580,1.0,1.0,64,69,9,9,25
581,1.0,1.0,64,70,9,9,30
582,1.0,1.0,64,71,9,9,35
583,1.0,1.0,64,72,9,9,40
584,1.0,1.0,64,73,9,9,45
585,1.0,1.0,65,66,9,9,5
586,1.0,1.0,65,67,9,9,10
587,1.0,1.0,65,68,9,9,15
588,1.0,1.0,65,69,9,9,20
589,1.0,1.0,65,70,9,9,25
590,1.0,1.0,65,71,9,9,30
591,1.0,1.0,65,72,9,9,35
592,1.0,1.0,65,73,9,9,40
593,1.0,1.0,65,74,9,10,45
594,1.0,1.0,66,67,9,9,5
595,1.0,1.0,66,68,9,9,10
596,1.0,1.0,66,69,9,9,15
597,1.0,1.0,66,70,9,9,20
598,1.0,1.0,66,71,9,9,25
599,1.0,1.0,66,72,9,9,30
600,1.0,1.0,66,73,9,9,35
601,1.0,1.0,66,74,9,10,40
602,1.0,1.0,66,75,9,10,45
603,1.0,1.0,67,68,9,9,5
604,1.0,1.0,67,69,9,9,10
605,1.0,1.0,67,70,9,9,15
606,1.0,1.0,67,71,9,9,20
607,1.0,1.0,67,72,9,9,25
608,1.0,1.0,67,73,9,9,30
609,1.0,1.0,67,74,9,10,35
610,1.0,1.0,67,75,9,10,40
611,1.0,1.0,67,76,9,10,45
612,1.0,1.0,68,69,9,9,5
613,1.0,1.0,68,70,9,9,10
614,1.0,1.0,68,71,9,9,15
615,1.0,1.0,68,72,9,9,20
616,1.0,1.0,68,73,9,9,25
617,1.0,1.0,68,74,9,10,30
618,1.0,1.0,68,75,9,10,35
619,1.0,1.0,68,76,9,10,40
620,1.0,1.0,68,77,9,10,45
621,1.0,1.0,69,70,9,9,5
622,1.0,1.0,69,71,9,9,10
623,1.0,1.0,69,72,9,9,15
624,1.0,1.0,69,73,9,9,20
625,1.0,1.0,69,74,9,10,25
626,1.0,1.0,69,75,9,10,30
627,1.0,1.0,69,76,9,10,35
628,1.0,1.0,69,77,9,10,40
629,1.0,1.0,69,78,9,10,45
630,1.0,1.0,70,71,9,9,5
631,1.0,1.0,70,72,9,9,10
632,1.0,1.0,70,73,9,9,15
633,1.0,1.0,70,74,9,10,20
634,1.0,1.0,70,75,9,10,25
635,1.0,1.0,70,76,9,10,30
636,1.0,1.0,70,77,9,10,35
637,1.0,1.0,70,78,9,10,40
638,1.0,1.0,70,79,9,10,45
639,1.0,1.0,71,72,9,9,5
640,1.0,1.0,71,73,9,9,10
641,1.0,1.0,71,74,9,10,15
642,1.0,1.0,71,75,9,10,20
643,1.0,1.0,71,76,9,10,25
644,1.0,1.0,71,77,9,10,30
645,1.0,1.0,71,78,9,10,35
646,1.0,1.0,71,79,9,10,40
647,1.0,1.0,71,80,9,10,45
648,1.0,1.0,72,73,9,9,5
649,1.0,1.0,72,74,9,10,10
650,1.0,1.0,72,75,9,10,15
651,1.0,1.0,72,76,9,10,20
652,1.0,1.0,72,77,9,10,25
653,1.0,1.0,72,78,9,10,30
654,1.0,1.0,72,79,9,10,35
655,1.0,1.0,72,80,9,10,40
656,1.0,1.0,72,81,9,10,45
657,1.0,1.0,73,74,9,10,5
658,1.0,1.0,73,75,9,10,10
659,1.0,1.0,73,76,9,10,15
660,1.0,1.0,73,77,9,10,20
661,1.0,1.0,73,78,9,10,25
662,1.0,1.0,73,79,9,10,30
663,1.0,1.0,73,80,9,10,35
664,1.0,1.0,73,81,9,10,40
665,1.0,1.0,73,82,9,10,45
666,1.0,1.0,74,75,10,10,5
667,1.0,1.0,74,76,10,10,10
668,1.0,1.0,74,77,10,10,15
669,1.0,1.0,74,78,10,10,20
670,1.0,1.0,74,79,10,10,25
671,1.0,1.0,74,80,10,10,30
672,1.0,1.0,74,81,10,10,35
673,1.0,1.0,74,82,10,10,40
674,1.0,1.0,74,83,10,10,45
675,1.0,1.0,75,76,10,10,5
676,1.0,1.0,75,77,10,10,10
677,1.0,1.0,75,78,10,10,15
678,1.0,1.0,75,79,10,10,20
679,1.0,1.0,75,80,10,10,25
680,1.0,1.0,75,81,10,10,30
681,1.0,1.0,75,82,10,10,35
682,1.0,1.0,75,83,10,10,40
683,1.0,1.0,75,84,10,10,45
684,1.0,1.0,76,77,10,10,5
685,1.0,1.0,76,78,10,10,10
686,1.0,1.0,76,79,10,10,15
687,1.0,1.0,76,80,10,10,20
688,1.0,1.0,76,81,10,10,25
